sn,id,name,domain_name
366,111326,私立新榮高中,srsh.tn.edu.tw
367,114306,市立大灣高中,dwhs.tn.edu.tw
368,114307,市立永仁高中,yrhs.tn.edu.tw
369,120303,國立鳳山高中,fssh.khc.edu.tw
370,120304,國立岡山高中,kssh.khc.edu.tw
371,120311,國立旗美高中,cmsh.khc.edu.tw
372,120319,國立鳳新高中,fhsh.khc.edu.tw
373,121307,財團法人普門中學,pmsh.khc.edu.tw
374,121318,私立正義高中,cysh.khc.edu.tw
375,121320,私立義大國際高中,iis.kh.edu.tw
376,124302,市立文山高中,wsm.kh.edu.tw
377,124311,市立林園高中,ly.kh.edu.tw
378,124313,市立仁武高中,rwm.kh.edu.tw
379,124322,市立路竹高中,lchs.kh.edu.tw
380,124333,市立六龜高中,lgm.kh.edu.tw
381,124340,市立福誠高中,ftm.kh.edu.tw
382,130302,國立屏東女中,ptgsh.ptc.edu.tw
383,130305,國立屏東高中,pths.ptc.edu.tw
384,130306,國立潮州高中,ccsh.ptc.edu.tw
385,130307,國立屏科實驗高中籌備處,nehs.ptc.edu.tw
386,130322,國立屏北高中,ppsh.ptc.edu.tw
387,131307,財團法人屏榮高中,prhs.ptc.edu.tw
388,131308,私立陸興高中,lssh.ptc.edu.tw
389,131311,私立美和高中,mhsh.ptc.edu.tw
390,134304,縣立大同高中,dtjh.ptc.edu.tw
391,134321,縣立枋寮高中,flhs.ptc.edu.tw
392,134324,縣立東港高中,dghs.ptc.edu.tw
393,134334,縣立來義高中,lyhs.ptc.edu.tw
394,140302,國立臺東女中,tgsh.ttct.edu.tw
395,140303,國立臺東高中,pttsh.ttct.edu.tw
396,141307,私立育仁高中,lotus.ttct.edu.tw
397,144322,縣立蘭嶼高中,layjh.ttct.edu.tw
398,150302,國立花蓮女中,hlgs.hlc.edu.tw
399,150303,國立花蓮高中,hlhs.hlc.edu.tw
400,150309,國立玉里高中,ylsh.hlc.edu.tw
401,151306,私立海星高中,smhs.hlc.edu.tw
402,151307,私立四維高中,swsh.hlc.edu.tw
403,154301,花蓮縣立體育高中,hpehs.hlc.edu.tw
404,154399,縣立南平中學,nphs.hlc.edu.tw
405,160302,國立馬公高中,mksh.phc.edu.tw
406,170301,國立基隆女中,klgsh.kl.edu.tw
407,170302,國立基隆高中,klsh.kl.edu.tw
408,171306,私立二信高中,essh.kl.edu.tw
409,171308,輔大聖心高中,shsh.kl.edu.tw
410,173304,市立中山高中,csjh.kl.edu.tw
411,173306,市立安樂高中,aljh.kl.edu.tw
412,173307,市立暖暖高中,nnjh.kl.edu.tw
413,173314,市立八斗高中,bdjh.kl.edu.tw
414,180301,國立竹科實驗高級中等學校,nehs.hc.edu.tw
415,180302,國立新竹女中,hgsh.hc.edu.tw
416,180309,國立新竹高中,hchs.hc.edu.tw
417,181305,私立光復高中,kfsh.hc.edu.tw
